CAT,CNT,POS,NAME,CRD,ANNOUNCED2,RUNS2,4S2,6S1,6S2,S/R1,S/R2,BALLS FACED1,30/50/100_1,30/50/100_2,DUCK1,DUCK2,OVERS BOWLED1,WICK1,WICK2,LBW/BOW BONUS1,LBW/BOW BONUS2,2/3/4/5 WICK BONUS1,2/3/4/5 WICK BONUS2,MAIDEN OVER1,MAIDEN OVER2,E/R1,E/R2,CATCH1,CATCH2,CATCH BONUS1,CATCH BONUS2,RUNOUT/STUMPING1,RUNOUT/STUMPING2,TOTAL,OPPOSITE TEAM,DT
BT,GT,5,DML,9,4,32,3,1,2,168.48,4,19,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,57,RR,1
BW,GT,11,MSM,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,1,8,1,0,0,0,8.25,0,1,8,0,0,1,6,51,RR,1
BW,GT,7,RKN,9,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,4.15,6,0,0,0,0,0,0,35,RR,1
BW,GT,9,YDL,8,4,0,0,0,0,0,0,0,0,0,0,0,3,1,25,0,0,0,0,0,0,6,2,0,0,0,0,0,0,31,RR,0
WK,GT,1,WSH,8.5,4,5,1,0,0,71.43,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,18,RR,0
AR,GT,6,RTW,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,6,18,RR,0
WK,GT,3,MWD,8,4,8,0,1,2,80,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,RR,0
BW,GT,10,LFG,8.5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,4,RR,0
BW,RR,8,TBT,8.5,4,11,0,1,2,157.14,0,7,0,0,0,0,4,1,25,0,0,1,0,1,12,3.5,6,0,0,0,0,0,0,60,GT,1
WK,RR,2,JBT,11,4,39,5,0,0,111.43,0,35,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,GT,1
BT,RR,1,YJS,8.5,4,22,1,2,4,137.5,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,41,GT,1
BW,RR,9,PKS,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,1,8,1,0,0,0,10,-2,0,0,0,0,0,0,35,GT,1
BW,RR,10,YCL,9,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,5,4,0,0,0,0,0,0,33,GT,1
AR,RR,7,RPG,8,4,15,1,0,0,100,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,28,GT,0
WK,RR,3,SSS,9,4,14,2,0,0,127.27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,GT,0
BT,RR,6,SHT,8.5,4,11,2,0,0,91.67,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,GT,0
BW,RR,11,OMC,8.5,4,8,0,1,2,160,0,5,0,0,0,0,3.1,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,14,GT,0
AR,RR,5,RAS,9,4,6,0,0,0,66.67,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,10.67,-2,0,0,0,0,0,0,8,GT,0
BT,RR,4,DPK,8.5,4,2,0,0,0,20,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GT,0
